Type	Total	HP	Attack	Defense	Sp_Atk	Sp_Def	Speed
Fire	460	70	100	70	105	75	40
Fire	560	70	120	100	145	105	20
Fire	534	78	84	78	109	85	100
Fire	634	78	104	78	159	115	100
Fire	382	62	73	55	56	52	84
Fire	499	78	81	71	74	69	126
Fire	405	60	85	60	85	60	55
Fire	530	80	120	70	110	70	80
Fire	630	80	160	80	130	80	100
Fire	405	64	78	52	78	52	81
Fire	534	76	104	71	104	71	108
Fire	418	90	93	55	70	55	55
Fire	528	110	123	65	100	65	65
Fire	634	78	130	111	130	85	100
Fire	309	39	52	43	60	50	65
Fire	405	58	64	58	80	65	80
Fire	299	38	41	40	50	65	65
Fire	505	73	76	75	81	100	100
Fire	350	55	70	45	70	50	60
Fire	555	90	110	80	100	80	95
Fire	410	50	85	55	65	65	90
Fire	500	65	100	70	80	80	105
Fire	495	65	95	57	100	85	93
Fire	525	65	130	60	95	110	65
Fire	309	39	52	43	60	50	65
Fire	405	58	64	58	80	65	80
Fire	534	78	84	78	109	85	100
Fire	250	40	40	40	70	40	20
Fire	365	45	75	37	70	55	83
Fire	310	45	60	40	70	50	45
Fire	470	70	85	140	85	70	20
Fire	309	44	58	44	58	44	61
Fire	540	75	95	67	125	95	83
Fire	308	65	63	45	45	45	45
Fire	316	50	53	48	53	48	64
Fire	498	75	98	63	98	63	101
Fire	315	70	90	45	15	45	50
Fire	480	105	140	55	30	55	95
Fire	484	85	97	66	105	66	65
Fire	307	40	45	40	62	60	60
Fire	409	59	59	58	90	70	73
Fire	330	45	60	30	80	50	65
Fire	500	75	90	50	110	80	95
Fire	600	75	90	90	140	90	115
Fire	520	50	65	107	105	107	86
Fire	275	50	30	55	65	55	20
Fire	370	60	40	60	95	60	55
Fire	520	60	55	90	145	90	80
Fire	360	55	85	55	50	55	60
Fire	550	85	60	65	135	105	100
Fighting	525	70	110	70	115	70	90
Fighting	625	70	145	88	140	70	112
Fighting	280	30	40	55	40	55	60
Fighting	410	60	60	75	60	75	80
Fighting	510	60	100	85	80	85	100
Fighting	500	78	92	75	74	63	118
Fighting	495	95	124	78	69	71	58
Fighting	305	40	80	35	35	45	70
Fighting	455	65	105	60	60	70	95
Fighting	305	70	80	50	35	35	35
Fighting	405	80	100	70	50	60	45
Fighting	505	90	130	80	65	85	55
Fighting	455	50	120	53	35	110	87
Fighting	455	50	105	79	35	110	76
Fighting	210	35	35	35	35	35	35
Fighting	455	50	95	95	35	110	70
Fighting	237	72	60	30	20	30	25
Fighting	474	144	120	60	40	60	50
Fighting	285	40	70	40	35	40	60
Fighting	305	75	80	55	25	35	35
Fighting	405	85	105	85	40	50	40
Fighting	505	105	140	95	55	65	45
Fighting	465	120	100	85	30	85	45
Fighting	465	75	125	75	30	75	85
Fighting	350	45	85	50	55	50	65
Fighting	510	65	125	60	95	60	105
Fighting	348	67	82	62	46	48	43
Fighting	510	90	95	95	70	90	70
Fighting	500	80	125	75	40	95	85
Fighting	600	80	185	115	40	105	75
Fighting	405	60	85	60	85	60	55
Fighting	530	80	120	70	110	70	80
Fighting	630	80	160	80	130	80	100
Fighting	460	60	130	80	60	60	70
Fighting	405	64	78	52	78	52	81
Fighting	534	76	104	71	104	71	108
Fighting	580	65	136	94	54	96	135
Fighting	300	48	61	40	61	40	50
Fighting	490	83	106	65	86	65	85
Fighting	518	68	125	65	65	115	80
Fighting	618	68	165	95	65	115	110
Fighting	418	90	93	55	70	55	55
Fighting	528	110	123	65	100	65	65
Fighting	348	50	75	70	35	70	48
Fighting	488	65	90	115	45	115	58
Fighting	580	91	72	90	129	90	108
Fighting	580	91	72	90	129	90	108
Fighting	600	100	128	90	77	77	128
Fighting	530	88	107	122	74	75	64
Fairy	405	55	40	85	80	105	40
Fairy	545	85	50	95	120	115	80
Fairy	323	70	45	48	60	65	35
Fairy	483	95	70	73	95	90	60
Fairy	218	50	25	28	45	55	15
Fairy	245	35	20	65	40	65	20
Fairy	300	60	80	50	40	40	30
Fairy	450	90	120	75	60	60	45
Fairy	303	44	38	39	61	79	42
Fairy	371	54	45	47	75	98	52
Fairy	552	78	65	68	112	154	75
Fairy	341	78	52	60	63	65	23
Fairy	462	101	72	72	99	89	29
Fairy	341	62	48	66	59	57	49
Fairy	480	82	80	86	85	75	72
Fairy	525	95	65	65	110	130	60
Fairy	270	115	45	20	45	25	20
Fairy	435	140	70	45	85	50	45
Fairy	460	40	45	65	100	120	90
Fairy	210	90	30	15	40	20	15
Fairy	250	70	20	50	20	50	40
Fairy	420	100	50	80	60	80	50
Fairy	198	28	25	25	45	35	40
Fairy	278	38	35	35	65	55	50
Fairy	518	68	65	65	125	115	80
Fairy	618	68	85	65	165	135	100
Fairy	190	50	20	40	20	40	20
Fairy	380	50	85	85	55	55	50
Fairy	480	50	105	125	55	95	50
Fairy	590	75	110	110	110	105	80
Fairy	310	20	25	45	70	90	60
Fairy	545	103	60	126	80	126	50
Fairy	280	40	27	60	37	50	66
Fairy	480	60	67	85	77	75	116
Fairy	431	67	58	57	81	67	101
Fairy	500	50	50	150	50	150	50
Fairy	470	57	80	91	80	87	75
Electric	520	50	65	107	105	107	86
Electric	325	25	35	70	95	55	45
Electric	465	50	60	95	120	70	70
Electric	535	70	70	115	130	90	60
Electric	289	44	38	33	61	43	70
Electric	481	62	55	52	109	94	109
Electric	520	50	65	107	105	107	86
Electric	520	50	65	107	105	107	86
Electric	440	50	50	77	95	77	91
Electric	520	50	65	107	105	107	86
Electric	428	55	75	60	75	60	103
Electric	520	50	65	107	105	107	86
Electric	431	67	58	57	81	67	101
Electric	610	90	95	105	165	110	45
Electric	320	35	55	40	50	50	90
Electric	485	60	90	55	90	80	110
Electric	330	40	30	50	55	55	100
Electric	480	60	50	70	80	80	140
Electric	490	65	83	57	95	85	105
Electric	525	65	65	60	110	95	130
Electric	205	20	40	15	35	35	60
Electric	280	55	40	40	65	45	35
Electric	365	70	55	55	80	60	45
Electric	510	90	75	85	115	90	55
Electric	360	45	63	37	65	55	95
Electric	295	40	45	40	65	40	65
Electric	475	70	75	60	105	60	105
Electric	575	70	75	80	135	80	135
Electric	405	60	50	40	85	75	95
Electric	405	60	40	50	75	85	95
Electric	263	45	65	34	40	34	45
Electric	363	60	85	49	60	49	60
Electric	523	80	120	79	95	79	70
Electric	405	60	45	70	45	90	95
Electric	540	75	123	67	95	85	95
Electric	295	45	60	32	50	32	76
Electric	497	75	100	63	80	63	116
Electric	275	35	55	40	45	40	60
Electric	405	65	85	70	75	70	40
Electric	515	85	115	80	105	80	50
Electric	330	75	38	38	56	56	67
Electric	460	125	58	58	76	76	67
Electric	319	50	47	50	57	50	65
Electric	472	70	77	60	97	60	108
Electric	471	109	66	84	81	99	32
Dragon	300	58	70	45	40	45	42
Dragon	410	68	90	65	50	55	82
Dragon	600	108	130	95	80	85	102
Dragon	700	108	170	115	120	95	92
Dragon	600	91	134	95	100	100	80
Dragon	490	75	70	90	70	105	80
Dragon	600	95	135	80	110	80	100
Dragon	700	95	145	130	120	90	120
Dragon	590	75	110	110	110	105	80
Dragon	300	41	64	45	50	50	50
Dragon	420	61	84	65	70	70	70
Dragon	300	45	75	60	40	30	50
Dragon	420	65	95	100	60	50	50
Dragon	320	46	87	60	30	40	57
Dragon	410	66	117	70	40	50	67
Dragon	540	76	147	90	60	70	97
Dragon	485	77	120	90	60	90	48
Dragon	300	45	50	35	55	75	40
Dragon	452	68	75	53	83	113	60
Dragon	600	90	100	70	110	150	80
Dragon	634	78	130	111	130	85	100
Dragon	610	90	95	105	165	110	45
Dragon	540	75	95	95	95	95	85
Dragon	630	70	110	75	145	85	145
Dragon	340	50	70	50	50	50	70
Dragon	520	80	100	80	80	80	100
Dragon	300	52	65	50	45	50	38
Dragon	420	72	85	70	65	70	58
Dragon	600	92	105	90	125	90	98
Dragon	494	65	75	90	97	123	44
Dragon	362	58	89	77	45	45	48
Dragon	521	82	121	119	69	59	71
Dragon	245	40	30	35	45	40	55
Dragon	535	85	70	80	97	80	123
Dark	340	45	85	70	40	40	60
Dark	490	65	125	100	60	70	70
Dark	288	53	54	53	37	46	45
Dark	482	86	92	88	68	75	73
Dark	430	55	95	55	35	75	115
Dark	510	70	120	65	45	85	125
Dark	380	50	75	75	65	65	50
Dark	480	50	85	125	85	115	20
Dark	405	60	85	42	85	42	91
Dark	505	100	125	52	105	52	71
Dark	370	70	55	75	45	65	60
Dark	510	110	65	105	55	95	80
Dark	330	45	60	30	80	50	65
Dark	500	75	90	50	110	80	95
Dark	600	75	90	90	140	90	115
Dark	348	50	75	70	35	70	48
Dark	488	65	90	115	45	115	58
Dark	300	52	65	50	45	50	38
Dark	420	72	85	70	65	70	58
Dark	600	92	105	90	125	90	98
Dark	525	95	65	110	60	130	65
Dark	220	35	55	35	30	30	35
Dark	420	70	90	70	60	60	70
Dark	465	65	130	60	75	60	75
Dark	565	65	150	60	115	60	115
Dark	281	41	50	37	50	37	66
Dark	446	64	88	50	88	50	106
Dark	330	40	65	40	80	40	65
Dark	510	60	105	60	120	60	105
Dark	640	95	155	109	70	130	81
Dark	600	100	134	110	95	100	61
Dark	700	100	164	150	95	120	71
Dark	340	70	70	40	60	40	60
Dark	480	90	100	60	90	60	80
Dark	305	45	90	20	65	20	65
Dark	460	70	120	40	95	40	95
Dark	560	70	140	70	110	65	105
Dark	475	70	115	60	115	60	55
Dark	468	63	120	85	90	55	55
Dark	329	63	63	47	41	41	74
Dark	479	103	93	67	71	61	84
Dark	485	50	92	108	92	108	35
Dark	500	70	90	110	60	75	95
Dark	292	50	72	35	35	35	65
Dark	351	60	82	45	45	45	74
Dark	519	95	117	80	65	70	92
Dark	530	72	95	67	103	71	122
Dark	495	95	124	78	69	71	58
Bug	269	40	30	32	50	52	65
Bug	465	75	90	140	60	60	40
Bug	500	70	130	100	55	80	65
Bug	600	70	150	140	65	100	75
Bug	424	60	69	95	69	95	36
Bug	495	70	135	105	60	105	20
Bug	484	58	109	112	48	48	109
Bug	600	71	120	95	120	95	99
Bug	505	20	10	230	10	230	5
Bug	325	50	65	85	35	35	55
Bug	475	70	95	125	65	75	45
Bug	195	40	35	30	20	20	50
Bug	205	45	25	50	25	25	35
Bug	395	65	90	40	45	80	75
Bug	495	65	150	40	15	80	145
Bug	305	60	55	50	40	55	45
Bug	450	70	65	60	90	75	90
Bug	250	40	60	40	40	40	30
Bug	390	70	90	70	60	60	40
Bug	385	60	50	70	50	90	65
Bug	260	30	45	59	30	39	57
Bug	360	40	55	99	40	79	47
Bug	485	60	100	89	55	69	112
Bug	266	31	45	90	30	30	40
Bug	424	60	79	105	59	85	36
Bug	285	35	70	55	45	55	25
Bug	405	60	95	80	60	80	30
Bug	424	60	59	85	79	105	36
Bug	310	45	53	70	40	60	42
Bug	380	55	63	90	50	80	42
Bug	500	75	103	80	70	80	92
Bug	236	1	90	45	30	30	40
Bug	395	60	45	50	90	80	70
Bug	500	70	110	80	55	80	105
Bug	600	65	155	120	65	90	105
Bug	265	40	20	30	40	80	55
Bug	390	55	35	50	55	110	85
Bug	390	65	65	45	75	45	95
Bug	395	60	70	50	100	50	65
Bug	414	70	60	62	80	82	60
Bug	456	61	90	45	50	50	160
Bug	424	70	94	50	94	50	66
Bug	244	30	30	42	30	42	70
Bug	474	70	80	102	80	102	40
Bug	515	86	76	86	116	56	95
Bug	411	80	52	50	90	50	89
Bug	360	55	85	55	50	55	60
Bug	550	85	60	65	135	105	100
Bug	500	80	125	75	40	95	85
Bug	600	80	185	115	40	105	75
Bug	319	50	47	50	57	50	65
Bug	472	70	77	60	97	60	108
Bug	195	45	30	35	20	20	45
Bug	205	50	20	55	25	25	30
Bug	500	65	125	100	55	70	85
Bug	290	50	65	90	35	35	15
Bug	195	45	45	35	20	30	20
Bug	205	50	35	55	25	25	15
Bug	205	50	35	55	25	25	15
Bug	400	65	73	55	47	75	85
Bug	400	65	47	55	73	75	85
Bug	194	37	25	41	25	41	25
Bug	384	77	85	51	55	51	65
Bug	224	40	29	45	29	45	36
Bug	315	50	75	45	40	45	60
Bug	305	50	40	85	40	65	25
Bug	495	80	70	40	100	60	145
Bug	200	38	35	40	27	25	35
Bug	213	45	22	60	27	30	29
Bug	355	45	95	50	40	50	75
Bug	495	75	125	100	70	80	45
Bug	330	40	50	90	30	55	65
